iter	RMSE
0	77847.20455
1	76285.51906
2	74959.49904
3	73499.15078
4	72128.21984
5	70672.25515
6	69325.04262
7	68092.58829
8	66779.92061
9	65456.80954
10	64272.78806
11	63068.36706
12	61919.78311
13	60886.3702
14	59768.88785
15	58801.45148
16	57818.36866
17	56808.73495
18	55838.47357
19	54967.00376
20	54114.37439
21	53242.98046
22	52427.99984
23	51688.96034
24	50926.71737
25	50165.68249
26	49436.64653
27	48690.80021
28	47975.55477
29	47318.24345
30	46588.3334
31	45963.50678
32	45346.74928
33	44734.30721
34	44119.7949
35	43539.84927
36	43006.32204
37	42526.87281
38	42045.21059
39	41484.18704
40	40932.98312
41	40347.97858
42	39882.48916
43	39533.35134
44	39069.90526
45	38633.33221
46	38188.42801
47	37805.16759
48	37368.43462
49	36961.25092
50	36540.37175
51	36146.06297
52	35791.49508
53	35442.38409
54	35130.24465
55	34775.05312
56	34425.92574
57	34085.66664
58	33734.28505
59	33408.84926
60	33087.29987
61	32775.66308
62	32486.74772
63	32235.97987
64	31974.9327
65	31738.36213
66	31526.11647
67	31269.74727
68	31017.44952
69	30767.39857
70	30546.53469
71	30325.29903
72	30116.815
73	29861.11142
74	29642.26418
75	29458.31102
76	29210.51081
77	29040.3328
78	28862.69136
79	28659.97666
80	28471.94786
81	28276.12296
82	28110.82236
83	27921.96118
84	27735.11401
85	27576.20984
86	27450.16756
87	27265.42245
88	27097.00421
89	26958.80841
90	26795.29698
91	26716.33697
92	26542.03302
93	26408.50644
94	26254.33275
95	26090.66629
96	25967.49113
97	25837.31959
98	25673.54334
99	25575.28525
100	25473.34474
101	25325.94897
102	25186.50468
103	25040.35787
104	24912.3891
105	24843.9346
106	24685.36092
107	24581.32562
108	24487.72388
109	24367.0357
110	24280.63191
111	24198.81518
112	24091.44628
113	24013.08261
114	23907.11443
115	23786.34988
116	23682.13818
117	23607.3006
118	23475.41468
119	23376.02581
120	23283.6945
121	23196.6824
122	23120.85907
123	23076.93226
124	22996.60493
125	22904.74008
126	22837.97288
127	22757.20294
128	22669.21349
129	22608.18201
130	22552.50092
131	22507.43857
132	22421.5747
133	22328.39595
134	22241.15209
135	22192.43595
136	22135.9276
137	22060.50704
138	21999.55155
139	21912.28542
140	21837.33635
141	21783.78394
142	21724.39076
143	21650.11948
144	21592.7068
145	21540.52885
146	21488.15187
147	21436.65616
148	21416.71858
149	21378.42882
150	21326.84849
151	21283.5828
152	21241.1231
153	21188.68342
154	21145.11368
155	21094.67756
156	21048.93045
157	21003.32432
158	20955.44023
159	20885.96103
160	20838.54937
161	20782.68266
162	20727.54664
163	20685.09983
164	20632.08489
165	20593.45649
166	20559.58087
167	20522.53845
168	20491.50033
169	20444.75539
170	20411.67047
171	20363.25866
172	20314.51701
173	20274.19927
174	20240.00676
175	20205.36585
176	20150.43539
177	20093.96106
178	20080.60418
179	20040.76892
180	19993.86621
181	19963.27982
182	19956.30493
183	19906.70598
184	19871.78054
185	19856.55514
186	19810.68163
187	19773.12407
188	19737.02261
189	19682.57728
190	19645.74136
191	19640.63665
192	19582.85888
193	19549.06401
194	19516.24737
195	19480.44416
196	19437.16119
197	19395.00212
198	19372.0904
199	19355.24781
200	19326.02504
201	19289.32681
202	19258.7531
203	19222.69204
204	19191.06263
205	19161.09298
206	19138.7505
207	19125.88909
208	19123.59364
209	19080.99143
