iter	Passed	Remaining
0	17	51324
1	28	42651
2	38	38055
3	49	36889
4	55	33275
5	62	31042
6	69	29725
7	75	28292
8	82	27320
9	89	26744
10	95	26060
11	102	25484
12	109	25199
13	116	24828
14	123	24575
15	130	24340
16	137	24172
17	143	23844
18	150	23607
19	159	23738
20	166	23573
21	172	23409
22	180	23322
23	186	23175
24	193	22994
25	199	22793
26	205	22676
27	212	22540
28	219	22475
29	225	22340
30	232	22267
31	239	22235
32	244	22025
33	251	21961
34	258	21905
35	265	21830
36	269	21620
37	276	21566
38	284	21574
39	291	21561
40	298	21546
41	306	21601
42	314	21595
43	316	21273
44	323	21256
45	330	21242
46	337	21190
47	345	21254
48	354	21332
49	362	21398
50	369	21378
51	376	21335
52	384	21371
53	391	21373
54	398	21329
55	404	21274
56	411	21256
57	419	21271
58	426	21259
59	433	21254
60	441	21265
61	448	21242
62	455	21233
63	462	21195
64	469	21203
65	477	21211
66	481	21092
67	490	21141
68	499	21205
69	507	21227
70	513	21194
71	520	21153
72	526	21112
73	534	21133
74	542	21145
75	548	21092
76	555	21104
77	563	21096
78	570	21082
79	578	21106
80	585	21108
81	592	21090
82	599	21065
83	606	21043
84	612	21021
85	620	21009
86	626	20971
87	632	20943
88	640	20937
89	647	20924
90	655	20940
91	658	20801
92	665	20790
93	672	20791
94	679	20777
95	688	20819
96	695	20807
97	703	20843
98	710	20818
99	719	20851
100	726	20859
101	733	20845
102	740	20838
103	749	20864
104	756	20863
105	764	20881
106	772	20890
107	779	20870
108	786	20857
109	793	20839
110	801	20857
111	808	20835
112	815	20842
113	822	20821
114	829	20814
115	837	20818
116	845	20829
117	852	20823
118	859	20819
119	867	20831
120	875	20831
121	882	20827
122	889	20810
123	897	20821
124	905	20824
125	912	20819
126	919	20803
127	926	20787
128	934	20793
129	942	20808
130	951	20830
131	959	20842
132	968	20883
133	974	20850
134	983	20872
135	991	20887
136	1000	20910
137	1008	20911
138	1016	20918
139	1023	20903
140	1030	20899
141	1038	20897
142	1045	20882
143	1052	20878
144	1060	20886
145	1067	20876
146	1076	20889
147	1083	20882
148	1092	20898
149	1099	20898
150	1107	20901
151	1116	20915
152	1124	20929
153	1132	20923
154	1138	20887
155	1146	20893
156	1153	20887
157	1161	20892
158	1167	20867
159	1176	20887
160	1184	20881
161	1197	20978
162	1205	20973
163	1212	20975
164	1221	20992
165	1230	21003
166	1237	20995
167	1245	21000
168	1255	21023
169	1264	21043
170	1276	21110
171	1285	21137
172	1294	21152
173	1301	21143
174	1309	21143
175	1317	21131
176	1324	21124
